    81    0.22594E+04    0.49524E+00    0.20235E-02   -0.11957E+02
    82    0.22881E+04    0.51058E+00    0.20739E-02   -0.12549E+02
    83    0.23171E+04    0.52601E+00    0.21250E-02   -0.13151E+02
    84    0.23464E+04    0.54153E+00    0.21767E-02   -0.13759E+02
    85    0.23758E+04    0.55711E+00    0.22290E-02   -0.14375E+02
    86    0.24054E+04    0.57276E+00    0.22820E-02   -0.14997E+02
    87    0.24356E+04    0.58846E+00    0.23356E-02   -0.15625E+02
    88    0.24657E+04    0.60421E+00    0.23899E-02   -0.16259E+02
    89    0.24962E+04    0.62000E+00    0.24448E-02   -0.16900E+02
    90    0.25269E+04    0.63580E+00    0.25004E-02   -0.17547E+02
    91    0.25578E+04    0.65158E+00    0.25566E-02   -0.18199E+02
    92    0.25889E+04    0.66735E+00    0.26134E-02   -0.18857E+02
    93    0.26203E+04    0.68308E+00    0.26710E-02   -0.19519E+02
    94    0.26518E+04    0.69875E+00    0.27291E-02   -0.20186E+02
    95    0.26836E+04    0.71435E+00    0.27880E-02   -0.20857E+02
    96    0.27154E+04    0.72987E+00    0.28475E-02   -0.21531E+02
    97    0.27476E+04    0.74529E+00    0.29077E-02   -0.22208E+02
    98    0.27800E+04    0.76061E+00    0.29686E-02   -0.22886E+02
    99    0.28126E+04    0.77579E+00    0.30301E-02   -0.23567E+02
   100    0.28454E+04    0.79082E+00    0.30923E-02   -0.24248E+02
   101    0.28783E+04    0.80577E+00    0.31553E-02   -0.24930E+02
   102    0.29118E+04    0.82049E+00    0.32189E-02   -0.25612E+02
   103    0.29452E+04    0.83505E+00    0.32832E-02   -0.26295E+02
   104    0.29789E+04    0.84945E+00    0.33482E-02   -0.26975E+02
   105    0.30127E+04    0.86362E+00    0.34139E-02   -0.27655E+02
   106    0.30467E+04    0.87764E+00    0.34804E-02   -0.28332E+02
   107    0.30807E+04    0.89134E+00    0.35475E-02   -0.29006E+02
   108    0.31150E+04    0.90481E+00    0.36154E-02   -0.29678E+02
   109    0.31495E+04    0.91798E+00    0.36840E-02   -0.30345E+02
   110    0.31841E+04    0.93084E+00    0.37534E-02   -0.31007E+02
   111    0.32189E+04    0.94346E+00    0.38235E-02   -0.31665E+02
   112    0.32538E+04    0.95578E+00    0.38943E-02   -0.32318E+02
   113    0.32890E+04    0.96778E+00    0.39659E-02   -0.32964E+02
   114    0.33242E+04    0.97941E+00    0.40383E-02   -0.33603E+02
   115    0.33597E+04    0.99080E+00    0.41114E-02   -0.34235E+02
   116    0.33952E+04    0.10017E+01    0.41853E-02   -0.34859E+02
   117    0.34309E+04    0.10123E+01    0.42599E-02   -0.35474E+02
   118    0.34669E+04    0.10226E+01    0.43354E-02   -0.36081E+02
   119    0.35028E+04    0.10325E+01    0.44116E-02   -0.36677E+02
   120    0.35389E+04    0.10419E+01    0.44886E-02   -0.37263E+02
   121    0.35749E+04    0.10511E+01    0.45665E-02   -0.37838E+02
   122    0.36111E+04    0.10597E+01    0.46451E-02   -0.38402E+02
   123    0.36473E+04    0.10678E+01    0.47246E-02   -0.38955E+02
   124    0.36836E+04    0.10756E+01    0.48049E-02   -0.39493E+02
   125    0.37198E+04    0.10829E+01    0.48860E-02   -0.40019E+02
   126    0.37561E+04    0.10899E+01    0.49679E-02   -0.40532E+02
   127    0.37924E+04    0.10962E+01    0.50507E-02   -0.41031E+02
   128    0.38287E+04    0.11022E+01    0.51344E-02   -0.41516E+02
   129    0.38650E+04    0.11077E+01    0.52189E-02   -0.41985E+02
   130    0.39014E+04    0.11126E+01    0.53042E-02   -0.42438E+02
   131    0.39377E+04    0.11172E+01    0.53904E-02   -0.42877E+02
   132    0.39740E+04    0.11212E+01    0.54775E-02   -0.43298E+02
   133    0.40102E+04    0.11247E+01    0.55655E-02   -0.43703E+02
   134    0.40465E+04    0.11278E+01    0.56544E-02   -0.44088E+02
   135    0.40827E+04    0.11303E+01    0.57441E-02   -0.44456E+02
   136    0.41187E+04    0.11323E+01    0.58348E-02   -0.44804E+02
   137    0.41547E+04    0.11339E+01    0.59264E-02   -0.45133E+02
   138    0.41907E+04    0.11349E+01    0.60188E-02   -0.45443E+02
   139    0.42263E+04    0.11355E+01    0.61122E-02   -0.45731E+02
   140    0.42621E+04    0.11356E+01    0.62065E-02   -0.46000E+02
   141    0.42976E+04    0.11351E+01    0.63018E-02   -0.46247E+02
   142    0.43331E+04    0.11341E+01    0.63980E-02   -0.46472E+02
   143    0.43685E+04    0.11327E+01    0.64951E-02   -0.46676E+02
   144    0.44036E+04    0.11307E+01    0.65931E-02   -0.46858E+02
   145    0.44386E+04    0.11284E+01    0.66921E-02   -0.47016E+02
   146    0.44737E+04    0.11255E+01    0.67921E-02   -0.47152E+02
   147    0.45083E+04    0.11221E+01    0.68930E-02   -0.47264E+02
   148    0.45428E+04    0.11183E+01    0.69949E-02   -0.47352E+02
   149    0.45773E+04    0.11140E+01    0.70978E-02   -0.47416E+02
   150    0.46114E+04    0.11093E+01    0.72016E-02   -0.47454E+02
   151    0.46453E+04    0.11042E+01    0.73064E-02   -0.47468E+02
   152    0.46790E+04    0.10985E+01    0.74122E-02   -0.47457E+02
   153    0.47125E+04    0.10925E+01    0.75190E-02   -0.47418E+02
   154    0.47457E+04    0.10861E+01    0.76267E-02   -0.47355E+02
