#  L TT            EE            BB            TE            PP            PT            PE           
  47 1.3612567e+03 9.7624438e-02 7.0726493e-04 1.0472362e+00 1.3538143e-07 8.2718332e-04 -3.7374785e-07
  48 1.3809602e+03 1.0452015e-01 7.3776898e-04 8.9836009e-01 1.3491352e-07 8.1048117e-04 -3.4281577e-07
  49 1.4008064e+03 1.1169835e-01 7.6892323e-04 7.3598054e-01 1.3442600e-07 7.9427877e-04 -3.3178396e-07
  50 1.4208505e+03 1.1916111e-01 8.0072727e-04 5.5969920e-01 1.3392056e-07 7.7855095e-04 -3.6900965e-07
  51 1.4411512e+03 1.2691193e-01 8.3318072e-04 3.6942830e-01 1.3339875e-07 7.6328023e-04 -4.7230571e-07
  52 1.4616558e+03 1.3495543e-01 8.6628311e-04 1.6612038e-01 1.3286158e-07 7.4847771e-04 -6.1754666e-07
  53 1.4822928e+03 1.4329319e-01 9.0003402e-04 -4.9221825e-02 1.3231014e-07 7.3416267e-04 -7.7019646e-07
  54 1.5030427e+03 1.5192754e-01 9.3443294e-04 -2.7645414e-01 1.3174537e-07 7.2035386e-04 -8.9579405e-07
  55 1.5239010e+03 1.6086228e-01 9.6947944e-04 -5.1580172e-01 1.3116827e-07 7.0707037e-04 -9.5994705e-07
  56 1.5449790e+03 1.7009444e-01 1.0051730e-03 -7.6813303e-01 1.3057985e-07 6.9431919e-04 -9.3880420e-07
  57 1.5663779e+03 1.7962069e-01 1.0415132e-03 -1.0343274e+00 1.2998068e-07 6.8205702e-04 -8.5044494e-07
  58 1.5880550e+03 1.8943984e-01 1.0784996e-03 -1.3145881e+00 1.2937129e-07 6.7022860e-04 -7.2337750e-07
  59 1.6099232e+03 1.9955142e-01 1.1161317e-03 -1.6088311e+00 1.2875230e-07 6.5877899e-04 -5.8605523e-07
  60 1.6319620e+03 2.0994757e-01 1.1544091e-03 -1.9165567e+00 1.2812420e-07 6.4765309e-04 -4.6688072e-07
  61 1.6541788e+03 2.2062124e-01 1.1933315e-03 -2.2372947e+00 1.2748769e-07 6.3680115e-04 -3.8917766e-07
  62 1.6765793e+03 2.3156883e-01 1.2328985e-03 -2.5710479e+00 1.2684367e-07 6.2619250e-04 -3.5611081e-07
  63 1.6991822e+03 2.4278829e-01 1.2731099e-03 -2.9179521e+00 1.2619318e-07 6.1580160e-04 -3.6581448e-07
  64 1.7219914e+03 2.5427686e-01 1.3139653e-03 -3.2781359e+00 1.2553714e-07 6.0560268e-04 -4.1642880e-07
  65 1.7450329e+03 2.6603398e-01 1.3554647e-03 -3.6517869e+00 1.2487664e-07 5.9557055e-04 -5.0609979e-07
  66 1.7683443e+03 2.7805252e-01 1.3976078e-03 -4.0391167e+00 1.2421256e-07 5.8569115e-04 -6.3002393e-07
  67 1.7919062e+03 2.9032572e-01 1.4403946e-03 -4.4395940e+00 1.2354544e-07 5.7599756e-04 -7.7159408e-07
  68 1.8156812e+03 3.0284393e-01 1.4838251e-03 -4.8524962e+00 1.2287574e-07 5.6653394e-04 -9.1127367e-07
  69 1.8396243e+03 3.1559973e-01 1.5278995e-03 -5.2771305e+00 1.2220388e-07 5.5734458e-04 -1.0295517e-06
  70 1.8637055e+03 3.2858646e-01 1.5726179e-03 -5.7129970e+00 1.2153033e-07 5.4847390e-04 -1.1069409e-06
  71 1.8879027e+03 3.4179989e-01 1.6179806e-03 -6.1599113e+00 1.2085546e-07 5.3995326e-04 -1.1293825e-06
  72 1.9123291e+03 3.5523601e-01 1.6639879e-03 -6.6187809e+00 1.2017937e-07 5.3176245e-04 -1.1044531e-06
  73 1.9370984e+03 3.6888956e-01 1.7106403e-03 -7.0905687e+00 1.1950208e-07 5.2386849e-04 -1.0451217e-06
  74 1.9622204e+03 3.8274932e-01 1.7579384e-03 -7.5751695e+00 1.1882363e-07 5.1623840e-04 -9.6434077e-07
  75 1.9876974e+03 3.9680335e-01 1.8058828e-03 -8.0721442e+00 1.1814397e-07 5.0883912e-04 -8.7504750e-07
  76 2.0134856e+03 4.1103758e-01 1.8544744e-03 -8.5809578e+00 1.1746326e-07 5.0163928e-04 -7.8894493e-07
  77 2.0394591e+03 4.2544127e-01 1.9037140e-03 -9.1001568e+00 1.1678185e-07 4.9461310e-04 -7.1284437e-07
  78 2.0656015e+03 4.4000229e-01 1.9536027e-03 -9.6292825e+00 1.1610010e-07 4.8773590e-04 -6.5233046e-07
  79 2.0919559e+03 4.5470927e-01 2.0041417e-03 -1.0168173e+01 1.1541845e-07 4.8098334e-04 -6.1298344e-07
  80 2.1185429e+03 4.6955082e-01 2.0553322e-03 -1.0716813e+01 1.1473732e-07 4.7433110e-04 -6.0037887e-07
  81 2.1453859e+03 4.8451554e-01 2.1071757e-03 -1.1274962e+01 1.1405706e-07 4.6776083e-04 -6.1789606e-07
  82 2.1724969e+03 4.9959346e-01 2.1596737e-03 -1.1842211e+01 1.1337800e-07 4.6127967e-04 -6.6014860e-07
  83 2.1998536e+03 5.1477310e-01 2.2128279e-03 -1.2418293e+01 1.1270040e-07 4.5490079e-04 -7.1956491e-07
  84 2.2274558e+03 5.3004373e-01 2.2666401e-03 -1.3002647e+01 1.1202448e-07 4.4863719e-04 -7.8858027e-07
  85 2.2552961e+03 5.4539387e-01 2.3211123e-03 -1.3595080e+01 1.1135059e-07 4.4250236e-04 -8.5963757e-07
  86 2.2833710e+03 5.6081405e-01 2.3762466e-03 -1.4195001e+01 1.1067892e-07 4.3650673e-04 -9.2632922e-07
  87 2.3116492e+03 5.7629091e-01 2.4320452e-03 -1.4801923e+01 1.1000965e-07 4.3065127e-04 -9.8682943e-07
  88 2.3401110e+03 5.9181162e-01 2.4885106e-03 -1.5415332e+01 1.0934291e-07 4.2493437e-04 -1.0404572e-06
  89 2.3687663e+03 6.0736332e-01 2.5456453e-03 -1.6034786e+01 1.0867885e-07 4.1935440e-04 -1.0865319e-06
  90 2.3976177e+03 6.2292874e-01 2.6034520e-03 -1.6659993e+01 1.0801760e-07 4.1390984e-04 -1.1243733e-06
  91 2.4266746e+03 6.3849448e-01 2.6619335e-03 -1.7290438e+01 1.0735928e-07 4.0859857e-04 -1.1535279e-06
  92 2.4559377e+03 6.5404573e-01 2.7210929e-03 -1.7925904e+01 1.0670396e-07 4.0341651e-04 -1.1744499e-06
  93 2.4854221e+03 6.6956786e-01 2.7809333e-03 -1.8565880e+01 1.0605168e-07 3.9835931e-04 -1.1878199e-06
  94 2.5151208e+03 6.8504845e-01 2.8414580e-03 -1.9210150e+01 1.0540252e-07 3.9342255e-04 -1.1943179e-06
  95 2.5450488e+03 7.0047214e-01 2.9026704e-03 -1.9858201e+01 1.0475648e-07 3.8860162e-04 -1.1946225e-06
  96 2.5751989e+03 7.1582505e-01 2.9645741e-03 -2.0509596e+01 1.0411367e-07 3.8389225e-04 -1.1894129e-06
  97 2.6055716e+03 7.3109256e-01 3.0271729e-03 -2.1163896e+01 1.0347412e-07 3.7928998e-04 -1.1793670e-06
  98 2.6361743e+03 7.4625930e-01 3.0904706e-03 -2.1820664e+01 1.0283788e-07 3.7479038e-04 -1.1651624e-06
  99 2.6669853e+03 7.6131140e-01 3.1544713e-03 -2.2479387e+01 1.0220501e-07 3.7038900e-04 -1.1474759e-06
 100 2.6980196e+03 7.7623721e-01 3.2191791e-03 -2.3139553e+01 1.0157558e-07 3.6608151e-04 -1.1269842e-06
