#  L TT            EE            BB            TE            PP            PT            PE           
1516 6.4002547e+02 1.4097413e+01 8.2929377e-02 4.1123631e+00 3.4167868e-09 1.5161553e-06 9.7002843e-08
1517 6.3690178e+02 1.4194210e+01 8.2851464e-02 4.3228041e+00 3.4131046e-09 1.5058372e-06 9.8901655e-08
1518 6.3377416e+02 1.4291831e+01 8.2773147e-02 4.5234200e+00 3.4094277e-09 1.4955057e-06 1.0078145e-07
1519 6.3064275e+02 1.4390260e+01 8.2694463e-02 4.7142108e+00 3.4057571e-09 1.4851620e-06 1.0264216e-07
1520 6.2750870e+02 1.4489401e+01 8.2615397e-02 4.8950948e+00 3.4020934e-09 1.4748075e-06 1.0448370e-07
1521 6.2437255e+02 1.4589237e+01 8.2535983e-02 5.0661151e+00 3.3984352e-09 1.4644426e-06 1.0630593e-07
1522 6.2123503e+02 1.4689755e+01 8.2456207e-02 5.2272748e+00 3.3947839e-09 1.4540688e-06 1.0810879e-07
1523 6.1809670e+02 1.4790814e+01 8.2376105e-02 5.3784959e+00 3.3911379e-09 1.4436868e-06 1.0989216e-07
1524 6.1495866e+02 1.4892401e+01 8.2295661e-02 5.5198254e+00 3.3874981e-09 1.4332978e-06 1.1165596e-07
1525 6.1182149e+02 1.4994460e+01 8.2214912e-02 5.6512689e+00 3.3838653e-09 1.4229032e-06 1.1340012e-07
1526 6.0868629e+02 1.5096973e+01 8.2133842e-02 5.7728336e+00 3.3802377e-09 1.4125033e-06 1.1512450e-07
1527 6.0555321e+02 1.5199887e+01 8.2052488e-02 5.8845693e+00 3.3766171e-09 1.4020996e-06 1.1682903e-07
1528 6.0242336e+02 1.5303103e+01 8.1970835e-02 5.9864437e+00 3.3730017e-09 1.3916929e-06 1.1851360e-07
1529 5.9929769e+02 1.5406607e+01 8.1888920e-02 6.0785504e+00 3.3693924e-09 1.3812844e-06 1.2017812e-07
1530 5.9617650e+02 1.5510343e+01 8.1806727e-02 6.1608190e+00 3.3657900e-09 1.3708753e-06 1.2182253e-07
1531 5.9306075e+02 1.5614254e+01 8.1724294e-02 6.2333040e+00 3.3621928e-09 1.3604662e-06 1.2344668e-07
1532 5.8995072e+02 1.5718326e+01 8.1641604e-02 6.2960597e+00 3.3586025e-09 1.3500584e-06 1.2505051e-07
1533 5.8684776e+02 1.5822421e+01 8.1558697e-02 6.3491008e+00 3.3550174e-09 1.3396528e-06 1.2663390e-07
1534 5.8375216e+02 1.5926566e+01 8.1475555e-02 6.3924843e+00 3.3514383e-09 1.3292505e-06 1.2819677e-07
1535 5.8066446e+02 1.6030704e+01 8.1392218e-02 6.4262277e+00 3.3478660e-09 1.3188528e-06 1.2973906e-07
1536 5.7758576e+02 1.6134741e+01 8.1308669e-02 6.4503497e+00 3.3442988e-09 1.3084602e-06 1.3126060e-07
1537 5.7451578e+02 1.6238620e+01 8.1224946e-02 6.4649105e+00 3.3407385e-09 1.2980741e-06 1.3276135e-07
1538 5.7145640e+02 1.6342367e+01 8.1141034e-02 6.4699707e+00 3.3371833e-09 1.2876953e-06 1.3424119e-07
1539 5.6840777e+02 1.6445847e+01 8.1056971e-02 6.4655916e+00 3.3336348e-09 1.2773253e-06 1.3570006e-07
1540 5.6537054e+02 1.6549085e+01 8.0972741e-02 6.4518774e+00 3.3300915e-09 1.2669644e-06 1.3713781e-07
1541 5.6234526e+02 1.6651986e+01 8.0888382e-02 6.4288100e+00 3.3265549e-09 1.2566143e-06 1.3855439e-07
1542 5.5933338e+02 1.6754536e+01 8.0803879e-02 6.3965365e+00 3.3230234e-09 1.2462755e-06 1.3994967e-07
1543 5.5633463e+02 1.6856639e+01 8.0719269e-02 6.3550810e+00 3.3194986e-09 1.2359496e-06 1.4132361e-07
1544 5.5335048e+02 1.6958323e+01 8.0634538e-02 6.3045511e+00 3.3159789e-09 1.2256370e-06 1.4267604e-07
1545 5.5038063e+02 1.7059452e+01 8.0549722e-02 6.2450142e+00 3.3124658e-09 1.2153393e-06 1.4400693e-07
1546 5.4742655e+02 1.7160013e+01 8.0464808e-02 6.1765391e+00 3.3089578e-09 1.2050570e-06 1.4531614e-07
1547 5.4448875e+02 1.7259991e+01 8.0379832e-02 6.0991952e+00 3.3054564e-09 1.1947918e-06 1.4660362e-07
1548 5.4156706e+02 1.7359333e+01 8.0294778e-02 6.0130932e+00 3.3019601e-09 1.1845440e-06 1.4786922e-07
1549 5.3866281e+02 1.7457945e+01 8.0209686e-02 5.9183042e+00 3.2984691e-09 1.1743149e-06 1.4911288e-07
1550 5.3577622e+02 1.7555815e+01 8.0124539e-02 5.8149006e+00 3.2949852e-09 1.1641059e-06 1.5033451e-07
1551 5.3290781e+02 1.7652889e+01 8.0039375e-02 5.7029957e+00 3.2915070e-09 1.1539177e-06 1.5153404e-07
1552 5.3005819e+02 1.7749114e+01 7.9954179e-02 5.5826627e+00 3.2880339e-09 1.1437508e-06 1.5271145e-07
1553 5.2722828e+02 1.7844477e+01 7.9868987e-02 5.4540569e+00 3.2845672e-09 1.1336064e-06 1.5386684e-07
1554 5.2441789e+02 1.7938926e+01 7.9783785e-02 5.3172130e+00 3.2811056e-09 1.1234848e-06 1.5500020e-07
1555 5.2162792e+02 1.8032369e+01 7.9698610e-02 5.1722883e+00 3.2776504e-09 1.1133874e-06 1.5611165e-07
1556 5.1885898e+02 1.8124832e+01 7.9613445e-02 5.0193587e+00 3.2742002e-09 1.1033141e-06 1.5720115e-07
1557 5.1611155e+02 1.8216265e+01 7.9528330e-02 4.8585825e+00 3.2707566e-09 1.0932663e-06 1.5826880e-07
1558 5.1338624e+02 1.8306575e+01 7.9443246e-02 4.6900372e+00 3.2673178e-09 1.0832443e-06 1.5931462e-07
1559 5.1068352e+02 1.8395791e+01 7.9358233e-02 4.5138833e+00 3.2638855e-09 1.0732493e-06 1.6033871e-07
1560 5.0800362e+02 1.8483822e+01 7.9273273e-02 4.3301591e+00 3.2604581e-09 1.0632816e-06 1.6134103e-07
1561 5.0534698e+02 1.8570656e+01 7.9188404e-02 4.1391059e+00 3.2570372e-09 1.0533421e-06 1.6232168e-07
1562 5.0271461e+02 1.8656243e+01 7.9103610e-02 3.9407636e+00 3.2536212e-09 1.0434315e-06 1.6328068e-07
1563 5.0010617e+02 1.8740571e+01 7.9018928e-02 3.7352947e+00 3.2502116e-09 1.0335508e-06 1.6421813e-07
1564 4.9752304e+02 1.8823590e+01 7.8934340e-02 3.5228203e+00 3.2468076e-09 1.0237004e-06 1.6513401e-07
1565 4.9496488e+02 1.8905251e+01 7.8849884e-02 3.3035033e+00 3.2434085e-09 1.0138810e-06 1.6602838e-07
1566 4.9243267e+02 1.8985504e+01 7.8765544e-02 3.0774269e+00 3.2400157e-09 1.0040937e-06 1.6690133e-07
1567 4.8992606e+02 1.9064377e+01 7.8681356e-02 2.8447555e+00 3.2366278e-09 9.9433888e-07 1.6775283e-07
1568 4.8744602e+02 1.9141783e+01 7.8597302e-02 2.6055731e+00 3.2332463e-09 9.8461751e-07 1.6858298e-07
1569 4.8499299e+02 1.9217671e+01 7.8513420e-02 2.3600837e+00 3.2298696e-09 9.7493013e-07 1.6939180e-07
1570 4.8256673e+02 1.9292073e+01 7.8429693e-02 2.1084124e+00 3.2264992e-09 9.6527782e-07 1.7017938e-07
1571 4.8016848e+02 1.9364861e+01 7.8346156e-02 1.8506617e+00 3.2231344e-09 9.5566098e-07 1.7094572e-07
1572 4.7779760e+02 1.9436105e+01 7.8262793e-02 1.5869856e+00 3.2197744e-09 9.4608033e-07 1.7169085e-07
1573 4.7545491e+02 1.9505718e+01 7.8179639e-02 1.3175382e+00 3.2164206e-09 9.3653697e-07 1.7241489e-07
1574 4.7314095e+02 1.9573651e+01 7.8096676e-02 1.0424816e+00 3.2130717e-09 9.2703117e-07 1.7311780e-07
1575 4.7085575e+02 1.9639937e+01 7.8013942e-02 7.6196637e-01 3.2097290e-09 9.1756401e-07 1.7379968e-07
1576 4.6859946e+02 1.9704527e+01 7.7931416e-02 4.7615964e-01 3.2063918e-09 9.0813623e-07 1.7446058e-07
1577 4.6637286e+02 1.9767376e+01 7.7849137e-02 1.8520858e-01 3.2030594e-09 8.9874823e-07 1.7510049e-07
1578 4.6417609e+02 1.9828514e+01 7.7767083e-02 -1.1071539e-01 3.1997332e-09 8.8940108e-07 1.7571950e-07
1579 4.6200955e+02 1.9887856e+01 7.7685293e-02 -4.1146443e-01 3.1964125e-09 8.8009551e-07 1.7631768e-07
1580 4.5987298e+02 1.9945397e+01 7.7603746e-02 -7.1688236e-01 3.1930964e-09 8.7083194e-07 1.7689499e-07
1581 4.5776716e+02 2.0001127e+01 7.7522478e-02 -1.0268168e+00 3.1897866e-09 8.6161144e-07 1.7745155e-07
1582 4.5569220e+02 2.0055042e+01 7.7441470e-02 -1.3411152e+00 3.1864823e-09 8.5243472e-07 1.7798740e-07
1583 4.5364810e+02 2.0107056e+01 7.7360758e-02 -1.6596286e+00 3.1831825e-09 8.4330223e-07 1.7850253e-07
1584 4.5163497e+02 2.0157205e+01 7.7280320e-02 -1.9822004e+00 3.1798890e-09 8.3421501e-07 1.7899704e-07
1585 4.4965279e+02 2.0205403e+01 7.7200194e-02 -2.3086774e+00 3.1766001e-09 8.2517359e-07 1.7947094e-07
1586 4.4770245e+02 2.0251684e+01 7.7120357e-02 -2.6389143e+00 3.1733174e-09 8.1617900e-07 1.7992434e-07
1587 4.4578352e+02 2.0296005e+01 7.7040847e-02 -2.9727424e+00 3.1700400e-09 8.0723169e-07 1.8035721e-07
1588 4.4389611e+02 2.0338321e+01 7.6961641e-02 -3.3100027e+00 3.1667673e-09 7.9833240e-07 1.8076961e-07
1589 4.4204056e+02 2.0378668e+01 7.6882775e-02 -3.6505373e+00 3.1635007e-09 7.8948216e-07 1.8116164e-07
1590 4.4021698e+02 2.0417000e+01 7.6804228e-02 -3.9941836e+00 3.1602394e-09 7.8068140e-07 1.8153329e-07
1591 4.3842530e+02 2.0453316e+01 7.6726034e-02 -4.3407820e+00 3.1569835e-09 7.7193107e-07 1.8188464e-07
1592 4.3666600e+02 2.0487573e+01 7.6648172e-02 -4.6901665e+00 3.1537321e-09 7.6323161e-07 1.8221567e-07
1593 4.3493864e+02 2.0519766e+01 7.6570676e-02 -5.0421838e+00 3.1504868e-09 7.5458405e-07 1.8252649e-07
1594 4.3324369e+02 2.0549894e+01 7.6493524e-02 -5.3966651e+00 3.1472468e-09 7.4598911e-07 1.8281715e-07
1595 4.3158108e+02 2.0577914e+01 7.6416751e-02 -5.7534496e+00 3.1440114e-09 7.3744727e-07 1.8308763e-07
1596 4.2995049e+02 2.0603862e+01 7.6340333e-02 -6.1123727e+00 3.1407820e-09 7.2895953e-07 1.8333805e-07
1597 4.2835262e+02 2.0627698e+01 7.6264306e-02 -6.4732737e+00 3.1375578e-09 7.2052663e-07 1.8356843e-07
1598 4.2678715e+02 2.0649420e+01 7.6188645e-02 -6.8359884e+00 3.1343382e-09 7.1214905e-07 1.8377878e-07
1599 4.2525362e+02 2.0669025e+01 7.6113384e-02 -7.2003525e+00 3.1311245e-09 7.0382777e-07 1.8396919e-07
1600 4.2375323e+02 2.0686474e+01 7.6038501e-02 -7.5662059e+00 3.1279161e-09 6.9556354e-07 1.8413971e-07
1601 4.2228473e+02 2.0701805e+01 7.5964028e-02 -7.9333924e+00 3.1247130e-09 6.8735685e-07 1.8429035e-07
1602 4.2084857e+02 2.0714977e+01 7.5889942e-02 -8.3017560e+00 3.1215143e-09 6.7920801e-07 1.8442122e-07
1603 4.1944465e+02 2.0725953e+01 7.5816276e-02 -8.6711371e+00 3.1183215e-09 6.7111750e-07 1.8453249e-07
1604 4.1807301e+02 2.0734809e+01 7.5743006e-02 -9.0413797e+00 3.1151339e-09 6.6308532e-07 1.8462422e-07
1605 4.1673353e+02 2.0741467e+01 7.5670163e-02 -9.4123441e+00 3.1119516e-09 6.5511186e-07 1.8469654e-07
1606 4.1542588e+02 2.0745967e+01 7.5597724e-02 -9.7838525e+00 3.1087736e-09 6.4719714e-07 1.8474952e-07
1607 4.1415033e+02 2.0748271e+01 7.5525721e-02 -1.0155727e+01 3.1056016e-09 6.3934160e-07 1.8478333e-07
1608 4.1290651e+02 2.0748381e+01 7.5454129e-02 -1.0527878e+01 3.1024347e-09 6.3154550e-07 1.8479808e-07
1609 4.1169432e+02 2.0746298e+01 7.5382980e-02 -1.0900063e+01 3.0992730e-09 6.2380891e-07 1.8479384e-07
1610 4.1051376e+02 2.0742061e+01 7.5312247e-02 -1.1272195e+01 3.0961157e-09 6.1613208e-07 1.8477072e-07
1611 4.0936471e+02 2.0735710e+01 7.5241964e-02 -1.1644031e+01 3.0929642e-09 6.0851546e-07 1.8472890e-07
1612 4.0824719e+02 2.0727170e+01 7.5172104e-02 -1.2015486e+01 3.0898179e-09 6.0095907e-07 1.8466843e-07
1613 4.0716068e+02 2.0716483e+01 7.5102698e-02 -1.2386355e+01 3.0866766e-09 5.9346328e-07 1.8458945e-07
1614 4.0610518e+02 2.0703688e+01 7.5033721e-02 -1.2756477e+01 3.0835398e-09 5.8602813e-07 1.8449203e-07
1615 4.0508056e+02 2.0688789e+01 7.4965202e-02 -1.3125726e+01 3.0804087e-09 5.7865406e-07 1.8437633e-07
1616 4.0408681e+02 2.0671750e+01 7.4897115e-02 -1.3493977e+01 3.0772827e-09 5.7134131e-07 1.8424247e-07
1617 4.0312340e+02 2.0652576e+01 7.4829491e-02 -1.3861032e+01 3.0741618e-09 5.6408997e-07 1.8409051e-07
1618 4.0219034e+02 2.0631308e+01 7.4762303e-02 -1.4226765e+01 3.0710460e-09 5.5690041e-07 1.8392061e-07
1619 4.0128708e+02 2.0607910e+01 7.4695580e-02 -1.4591056e+01 3.0679345e-09 5.4977268e-07 1.8373282e-07
1620 4.0041362e+02 2.0582466e+01 7.4629296e-02 -1.4953705e+01 3.0648287e-09 5.4270721e-07 1.8352732e-07
1621 3.9956979e+02 2.0554863e+01 7.4563480e-02 -1.5314667e+01 3.0617280e-09 5.3570423e-07 1.8330422e-07
1622 3.9875519e+02 2.0525222e+01 7.4498104e-02 -1.5673705e+01 3.0586323e-09 5.2876386e-07 1.8306358e-07
1623 3.9796966e+02 2.0493508e+01 7.4433199e-02 -1.6030739e+01 3.0555416e-09 5.2188644e-07 1.8280556e-07
1624 3.9721279e+02 2.0459727e+01 7.4368734e-02 -1.6385572e+01 3.0524552e-09 5.1507205e-07 1.8253021e-07
1625 3.9648442e+02 2.0423922e+01 7.4304740e-02 -1.6738123e+01 3.0493744e-09 5.0832109e-07 1.8223771e-07
1626 3.9578450e+02 2.0386136e+01 7.4241188e-02 -1.7088235e+01 3.0462987e-09 5.0163380e-07 1.8192816e-07
1627 3.9511211e+02 2.0346300e+01 7.4178107e-02 -1.7435753e+01 3.0432280e-09 4.9501030e-07 1.8160164e-07
1628 3.9446760e+02 2.0304494e+01 7.4115467e-02 -1.7780521e+01 3.0401622e-09 4.8845094e-07 1.8125830e-07
1629 3.9385038e+02 2.0260726e+01 7.4053298e-02 -1.8122499e+01 3.0371013e-09 4.8195585e-07 1.8089821e-07
1630 3.9326006e+02 2.0214964e+01 7.3991569e-02 -1.8461457e+01 3.0340447e-09 4.7552526e-07 1.8052148e-07
1631 3.9269644e+02 2.0167291e+01 7.3930308e-02 -1.8797355e+01 3.0309937e-09 4.6915957e-07 1.8012829e-07
1632 3.9215910e+02 2.0117674e+01 7.3869487e-02 -1.9130002e+01 3.0279476e-09 4.6285886e-07 1.7971869e-07
1633 3.9164746e+02 2.0066161e+01 7.3809132e-02 -1.9459325e+01 3.0249065e-09 4.5662347e-07 1.7929283e-07
1634 3.9116186e+02 2.0012757e+01 7.3749213e-02 -1.9785170e+01 3.0218702e-09 4.5045353e-07 1.7885078e-07
1635 3.9070134e+02 1.9957433e+01 7.3689759e-02 -2.0107464e+01 3.0188389e-09 4.4434939e-07 1.7839269e-07
1636 3.9026548e+02 1.9900273e+01 7.3630737e-02 -2.0426019e+01 3.0158124e-09 4.3831116e-07 1.7791864e-07
1637 3.8985444e+02 1.9841321e+01 7.3572177e-02 -2.0740801e+01 3.0127901e-09 4.3233910e-07 1.7742874e-07
1638 3.8946741e+02 1.9780511e+01 7.3514045e-02 -2.1051624e+01 3.0097734e-09 4.2643359e-07 1.7692316e-07
1639 3.8910419e+02 1.9717926e+01 7.3456369e-02 -2.1358417e+01 3.0067615e-09 4.2059472e-07 1.7640194e-07
1640 3.8876434e+02 1.9653612e+01 7.3399118e-02 -2.1661108e+01 3.0037544e-09 4.1482281e-07 1.7586526e-07
1641 3.8844727e+02 1.9587578e+01 7.3342319e-02 -2.1959516e+01 3.0007522e-09 4.0911802e-07 1.7531317e-07
1642 3.8815293e+02 1.9519832e+01 7.3285939e-02 -2.2253571e+01 2.9977548e-09 4.0348067e-07 1.7474582e-07
1643 3.8788070e+02 1.9450422e+01 7.3230005e-02 -2.2543204e+01 2.9947623e-09 3.9791090e-07 1.7416330e-07
1644 3.8763054e+02 1.9379393e+01 7.3174484e-02 -2.2828274e+01 2.9917745e-09 3.9240905e-07 1.7356575e-07
1645 3.8740146e+02 1.9306719e+01 7.3119403e-02 -2.3108676e+01 2.9887908e-09 3.8697521e-07 1.7295322e-07
1646 3.8719340e+02 1.9232409e+01 7.3064729e-02 -2.3384381e+01 2.9858126e-09 3.8160976e-07 1.7232589e-07
1647 3.8700577e+02 1.9156585e+01 7.3010488e-02 -2.3655250e+01 2.9828392e-09 3.7631294e-07 1.7168386e-07
1648 3.8683811e+02 1.9079182e+01 7.2956647e-02 -2.3921183e+01 2.9798705e-09 3.7108488e-07 1.7102722e-07
1649 3.8669020e+02 1.9000248e+01 7.2903232e-02 -2.4182115e+01 2.9769066e-09 3.6592591e-07 1.7035611e-07
1650 3.8656121e+02 1.8919794e+01 7.2850209e-02 -2.4437947e+01 2.9739474e-09 3.6083619e-07 1.6967060e-07
1651 3.8645092e+02 1.8837903e+01 7.2797603e-02 -2.4688617e+01 2.9709930e-09 3.5581598e-07 1.6897085e-07
1652 3.8635925e+02 1.8754586e+01 7.2745382e-02 -2.4934065e+01 2.9680433e-09 3.5086517e-07 1.6825696e-07
1653 3.8628485e+02 1.8669855e+01 7.2693569e-02 -2.5174194e+01 2.9650983e-09 3.4598374e-07 1.6752910e-07
1654 3.8622838e+02 1.8583720e+01 7.2642131e-02 -2.5408908e+01 2.9621581e-09 3.4117154e-07 1.6678738e-07
1655 3.8618849e+02 1.8496268e+01 7.2591094e-02 -2.5638186e+01 2.9592225e-09 3.3642855e-07 1.6603197e-07
1656 3.8616474e+02 1.8407507e+01 7.2540422e-02 -2.5861972e+01 2.9562916e-09 3.3175460e-07 1.6526297e-07
1657 3.8615726e+02 1.8317488e+01 7.2490140e-02 -2.6080134e+01 2.9533654e-09 3.2714970e-07 1.6448056e-07
1658 3.8616520e+02 1.8226185e+01 7.2440214e-02 -2.6292657e+01 2.9504431e-09 3.2261362e-07 1.6368483e-07
1659 3.8618835e+02 1.8133683e+01 7.2390668e-02 -2.6499484e+01 2.9475263e-09 3.1814641e-07 1.6287597e-07
1660 3.8622587e+02 1.8040030e+01 7.2341467e-02 -2.6700562e+01 2.9446140e-09 3.1374797e-07 1.6205412e-07
1661 3.8627754e+02 1.7945202e+01 7.2292636e-02 -2.6895839e+01 2.9417065e-09 3.0941815e-07 1.6121937e-07
1662 3.8634251e+02 1.7849285e+01 7.2244138e-02 -2.7085227e+01 2.9388035e-09 3.0515692e-07 1.6037192e-07
1663 3.8642092e+02 1.7752290e+01 7.2196000e-02 -2.7268749e+01 2.9359052e-09 3.0096413e-07 1.5951186e-07
1664 3.8651194e+02 1.7654266e+01 7.2148183e-02 -2.7446318e+01 2.9330115e-09 2.9683976e-07 1.5863936e-07
1665 3.8661498e+02 1.7555225e+01 7.2100714e-02 -2.7617850e+01 2.9301224e-09 2.9278365e-07 1.5775453e-07
1666 3.8672956e+02 1.7455181e+01 7.2053555e-02 -2.7783370e+01 2.9272379e-09 2.8879579e-07 1.5685755e-07
1667 3.8685544e+02 1.7354254e+01 7.2006732e-02 -2.7942831e+01 2.9243580e-09 2.8487602e-07 1.5594851e-07
1668 3.8699217e+02 1.7252385e+01 7.1960206e-02 -2.8096150e+01 2.9214827e-09 2.8102432e-07 1.5502760e-07
1669 3.8713878e+02 1.7149622e+01 7.1914003e-02 -2.8243321e+01 2.9186120e-09 2.7724054e-07 1.5409491e-07
1670 3.8729518e+02 1.7046052e+01 7.1868086e-02 -2.8384299e+01 2.9157458e-09 2.7352464e-07 1.5315063e-07
1671 3.8746076e+02 1.6941651e+01 7.1822479e-02 -2.8519078e+01 2.9128842e-09 2.6987649e-07 1.5219485e-07
1672 3.8763506e+02 1.6836504e+01 7.1777144e-02 -2.8647615e+01 2.9100271e-09 2.6629606e-07 1.5122775e-07
1673 3.8781747e+02 1.6730624e+01 7.1732107e-02 -2.8769943e+01 2.9071745e-09 2.6278319e-07 1.5024944e-07
1674 3.8800791e+02 1.6624061e+01 7.1687328e-02 -2.8885985e+01 2.9043265e-09 2.5933787e-07 1.4926009e-07
1675 3.8820541e+02 1.6516862e+01 7.1642832e-02 -2.8995773e+01 2.9014830e-09 2.5595994e-07 1.4825979e-07
1676 3.8840987e+02 1.6409078e+01 7.1598582e-02 -2.9099307e+01 2.8986441e-09 2.5264937e-07 1.4724874e-07
1677 3.8862069e+02 1.6300757e+01 7.1554602e-02 -2.9196548e+01 2.8958096e-09 2.4940603e-07 1.4622703e-07
1678 3.8883778e+02 1.6191876e+01 7.1510853e-02 -2.9287496e+01 2.8929796e-09 2.4622987e-07 1.4519484e-07
1679 3.8905983e+02 1.6082521e+01 7.1467359e-02 -2.9372154e+01 2.8901541e-09 2.4312076e-07 1.4415227e-07
1680 3.8928673e+02 1.5972740e+01 7.1424083e-02 -2.9450485e+01 2.8873330e-09 2.4007867e-07 1.4309949e-07
1681 3.8951861e+02 1.5862510e+01 7.1381048e-02 -2.9522528e+01 2.8845165e-09 2.3710344e-07 1.4203661e-07
1682 3.8975394e+02 1.5751916e+01 7.1338216e-02 -2.9588287e+01 2.8817044e-09 2.3419505e-07 1.4096381e-07
1683 3.8999284e+02 1.5640973e+01 7.1295611e-02 -2.9647694e+01 2.8788967e-09 2.3135336e-07 1.3988118e-07
1684 3.9023487e+02 1.5529691e+01 7.1253194e-02 -2.9700828e+01 2.8760935e-09 2.2857833e-07 1.3878891e-07
1685 3.9047943e+02 1.5418156e+01 7.1210989e-02 -2.9747656e+01 2.8732947e-09 2.2586983e-07 1.3768709e-07
1686 3.9072609e+02 1.5306381e+01 7.1168958e-02 -2.9788186e+01 2.8705003e-09 2.2322781e-07 1.3657591e-07
1687 3.9097423e+02 1.5194379e+01 7.1127124e-02 -2.9822498e+01 2.8677110e-09 2.2065219e-07 1.3545549e-07
1688 3.9122379e+02 1.5082234e+01 7.1085449e-02 -2.9850564e+01 2.8649255e-09 2.1814281e-07 1.3432594e-07
1689 3.9147417e+02 1.4969923e+01 7.1043956e-02 -2.9872393e+01 2.8621443e-09 2.1569965e-07 1.3318743e-07
1690 3.9172458e+02 1.4857565e+01 7.1002606e-02 -2.9888032e+01 2.8593675e-09 2.1332257e-07 1.3204008e-07
1691 3.9197478e+02 1.4745138e+01 7.0961424e-02 -2.9897491e+01 2.8565951e-09 2.1101155e-07 1.3088406e-07
1692 3.9222471e+02 1.4632690e+01 7.0920370e-02 -2.9900783e+01 2.8538271e-09 2.0876644e-07 1.2971947e-07
1693 3.9247305e+02 1.4520234e+01 7.0879469e-02 -2.9897991e+01 2.8510634e-09 2.0658720e-07 1.2854649e-07
1694 3.9272047e+02 1.4407853e+01 7.0838680e-02 -2.9889058e+01 2.8483041e-09 2.0447369e-07 1.2736522e-07
1695 3.9296529e+02 1.4295560e+01 7.0798029e-02 -2.9874071e+01 2.8455491e-09 2.0242589e-07 1.2617583e-07
1696 3.9320818e+02 1.4183331e+01 7.0757475e-02 -2.9853043e+01 2.8427984e-09 2.0044364e-07 1.2497844e-07
1697 3.9344818e+02 1.4071287e+01 7.0717044e-02 -2.9826027e+01 2.8400521e-09 1.9852692e-07 1.2377320e-07
1698 3.9368454e+02 1.3959402e+01 7.0676694e-02 -2.9793004e+01 2.8373101e-09 1.9667559e-07 1.2256024e-07
1699 3.9391738e+02 1.3847726e+01 7.0636452e-02 -2.9754100e+01 2.8345724e-09 1.9488960e-07 1.2133972e-07
1700 3.9414629e+02 1.3736340e+01 7.0596276e-02 -2.9709296e+01 2.8318389e-09 1.9316883e-07 1.2011175e-07
1701 3.9437070e+02 1.3625187e+01 7.0556192e-02 -2.9658683e+01 2.8291105e-09 1.9151321e-07 1.1887652e-07
1702 3.9459019e+02 1.3514383e+01 7.0516160e-02 -2.9602280e+01 2.8263856e-09 1.8992234e-07 1.1763415e-07
1703 3.9480456e+02 1.3403977e+01 7.0476204e-02 -2.9540215e+01 2.8236650e-09 1.8839586e-07 1.1638479e-07
1704 3.9501340e+02 1.3293907e+01 7.0436285e-02 -2.9472507e+01 2.8209487e-09 1.8693344e-07 1.1512865e-07
1705 3.9521649e+02 1.3184329e+01 7.0396426e-02 -2.9399216e+01 2.8182366e-09 1.8553467e-07 1.1386585e-07
1706 3.9541309e+02 1.3075182e+01 7.0356589e-02 -2.9320434e+01 2.8155288e-09 1.8419922e-07 1.1259660e-07
1707 3.9560300e+02 1.2966513e+01 7.0316799e-02 -2.9236149e+01 2.8128252e-09 1.8292668e-07 1.1132103e-07
1708 3.9578580e+02 1.2858404e+01 7.0277014e-02 -2.9146492e+01 2.8101259e-09 1.8171673e-07 1.1003933e-07
1709 3.9596166e+02 1.2750830e+01 7.0237261e-02 -2.9051488e+01 2.8074307e-09 1.8056895e-07 1.0875164e-07
1710 3.9612948e+02 1.2643872e+01 7.0197499e-02 -2.8951197e+01 2.8047404e-09 1.7948303e-07 1.0745817e-07
1711 3.9628942e+02 1.2537506e+01 7.0157754e-02 -2.8845715e+01 2.8020537e-09 1.7845854e-07 1.0615903e-07
1712 3.9644074e+02 1.2431778e+01 7.0117985e-02 -2.8735105e+01 2.7993712e-09 1.7749512e-07 1.0485440e-07
1713 3.9658325e+02 1.2326734e+01 7.0078219e-02 -2.8619428e+01 2.7966928e-09 1.7659244e-07 1.0354446e-07
1714 3.9671692e+02 1.2222384e+01 7.0038414e-02 -2.8498714e+01 2.7940187e-09 1.7575007e-07 1.0222936e-07
1715 3.9684120e+02 1.2118772e+01 6.9998597e-02 -2.8373129e+01 2.7913487e-09 1.7496770e-07 1.0090929e-07
1716 3.9695609e+02 1.2015943e+01 6.9958727e-02 -2.8242704e+01 2.7886828e-09 1.7424492e-07 9.9584377e-08
1717 3.9706068e+02 1.1913908e+01 6.9918831e-02 -2.8107502e+01 2.7860218e-09 1.7358142e-07 9.8254832e-08
1718 3.9715497e+02 1.1812676e+01 6.9878868e-02 -2.7967660e+01 2.7833643e-09 1.7297676e-07 9.6920781e-08
1719 3.9723913e+02 1.1712292e+01 6.9838864e-02 -2.7823172e+01 2.7807109e-09 1.7243058e-07 9.5582390e-08
1720 3.9731208e+02 1.1612765e+01 6.9798780e-02 -2.7674210e+01 2.7780616e-09 1.7194254e-07 9.4239847e-08
1721 3.9737437e+02 1.1514174e+01 6.9758642e-02 -2.7520804e+01 2.7754165e-09 1.7151224e-07 9.2893294e-08
1722 3.9742528e+02 1.1416492e+01 6.9718409e-02 -2.7363056e+01 2.7727754e-09 1.7113936e-07 9.1542918e-08
1723 3.9746429e+02 1.1319799e+01 6.9678109e-02 -2.7201104e+01 2.7701391e-09 1.7082351e-07 9.0188884e-08
1724 3.9749209e+02 1.1224067e+01 6.9637700e-02 -2.7034944e+01 2.7675063e-09 1.7056427e-07 8.8831323e-08
